data,label,type
20:06 + vo)) lte all z post lisa the first follow @nelly_thefirst pauli van wyk lives everyday under the weightiness of her own lies and propaganda about eff and vbs. it is her wettest dream to see the black people unrepresented. she is a relic of apartheid media. she has now become the victim of her own propaganda and far from reality. 7:46 . 12 jul 24 . 742 view 13 reposts 32 like li @lekoloanemanam2 @lekolo... . 12h replying to @nelly_thefirst she is a devil worshiper 2 22 3 101 lisa the first @nelly_thefirst . 11h she is obsessed 1 lv ild 28 show replies show probable spam post your reply <,0,tweet
"berth mehmet vefa dag @africandemoc eff is under mossad's attack let's take care of [protect]eff together.. eff is the ivory of our parliament the mossad guanine ) eff the story and legacy of israel's 3:43 pm . jul 11,2024 . 648 views",0,tweet
"18:11 b vo)) lte all berth mehmet vefa jag reposted mehmet vefa dag follow @africandemoc lan cameron he is a mossad factor who has infiltrated our parliament, he must be removed immediately 5:39 . 23 jun 24 . 28,4k views 345 reposts 7 quotes 972 likes 5 bookmarks bronx_x @bronx_wrangler . 23 jun renlying to @aedicandemon post your reply",0,tweet
"tz mehmet vefa jag reposted mehmet vefa dag @africa. . 1d : this is glynnis breytenbach who has been nominated at the jsc committee yet she was fired by the npa and probed but the da is very muted about it, yet they calling dr hlophe all sorts of names double standards they should start with her hands off dr hlophe 158 lithium 1,4k 3k 110k +",0,tweet
"hon. dudu zuma-sambudla o @... . 18h the unity of black people can win any war the composition we are united againt them 260 tv435 0 2,5k ili 196k",0,tweet
"evidence foun ploughshare https://www.theancho... anchort plate > uncategorized uncategorized evidence found of democratic alliance involvement in power outages in south africa by developer - february 12, 2024 31332 0 like 110 y g+ + photo: eskom, tutuka exponent place one of the most pressing event for the government and residents of south africa in recent twelvemonth has been the",0,tweet
"berth ferial haffajee @ferialhaffajee comment: there is a powerful organised deployed cadre machinery on x in the gauteng governance who shout-shout when a mirror is held up to their mirages. you got 34% in the elections, people, even as you spun journalists about a 55% win. stop shouting and calling me names. 9:06 04 jul 24 81,1k views 114 reposts 10 quote 611 likes 11 bookmarks q li moral authority @lavidanota 1d replying to @ferialhaffajee this is you... africa research desk @mightijamie . 2d calling other political parties, their voter and pol dog is disgraceful, dehumanizing and anti democratic. post your answer",0,tweet
post mehmet vefa dag follow @africandemoc da took over family thing for granting citizenship to illegal israeli settlers they are planning to bring over 5 million israelis in the western ness dixieland africa wake up zionists real land companies bought entire cape townsfolk already gentrification is already happening home thing department: base thing democracy of south africa regional office orlando west post your response,0,tweet
"18:17 in lte2 vo)) 4g it iii 54% mail eff combatant sizwe follow @sizwethefighter we must remain stedfarst battler we must nd 18:33 . 03 jul 24 . 3 490 views 30 reposts 2 quotes 185 likes tv 0 esinsz @szwiese . 18h replying to @sizwethefighter remember, stedfarst fighters, stedfarst! tz ihi 9 go devushka @moira m_p 1d replying to @sizwethefighter yes. we are fine actually. berth your reply",0,tweet
23:07 in vo)) 4g lte all z it post freeman bhengu @zibuseman newly appointed minister of home affairs - leon schreiber telling it exactly as it is. mabahambe ! is this really you @leon_schreib i ike i like tera2 themevom through tik tok and 2:44 10:47 . 03 jul 24 . 408k views 1004 reposts 187 quotes 3 462 like 970 bookmarks post your reply,0,tweet
"00:15 4 lt� all vo)) post thabzafrikai @thabzafrika i am told the nazi @our_da home affaire minister leon schreiber is a zimbabwean foreigner i am loving how the xenophobs are being dribble eff this and that, now this #cabinetannouncement ric schreiban in 2017 minister of base affairs incumbent assumed authority 30 june 2024 leader whoremonger steenhjisen preceded by d�sir�e van der walt personal details bain leon amos schreibe borrowdale, salisbury zimbabwe nationality zimbabwean] 7:49 . 01 jul 24 . 158k views 463 reposts 48 quotes 977 likes 49 bookmarker post your answer",0,tweet
mao @remiazania1 . 3d replying to @mbalulafikile why have you decided to be sellouts. you have lost all the little credibility you had by allowing the anc to be used as an instrument to bring apartheid 2.0 (the gnu). gogo helen zille & trick steenhuisen of the white racist da banibambe ngamasende. you are controlled by anc introduces a new top 7 nick oppenheimer rob hersov johan rupert brian menell koos bekker christo wiese stephen koseff 3 2219 78 ild 10k,0,tweet
"e swearword in our lifetime #cabinet ramaphosa andile lungisa breaking news . aking news breaking cyril ramaphosa is removed as a president of south africa. 9 2713 82 il 17,9k",0,tweet
vimlesh rajbansi @vimleshraj 3h mkp vanadium iec vote discrepancies i evidence can anyone point me to the page on the iec's website from where the mk party extracted this evidence? there is no source to a valid germ provided in the papers filed with the electoral court.,0,tweet
*mbungulu * *@_mbungulu . 1d replying to @mbalulafikile easy as abc what people of south africa want oo eff 274 8 414,0,tweet
"08:00 mail mehmet vefa dag follow @africandemoc let's dig in pauli caravan wyk's saga... how many houses does she have? what automobile is sh driving? who are the forces behind it who were her victims? our trend is starting . we will defeat those who used journalism as a arm and made c of lives miserable. now let's us give pauli van wyk' some journalism lessons. follow pauli van wyk @paulivw one am an african. journalist with @ daily maverick's investigative team, scorpio. a daily maverick reader named their pet after me.",0,tweet
"dashcamgp-z carbon @dashcampros #electionday don't forget those parties that have shown no humanity to mass being butchered ,starved, massacred in palestine. the ones who take money from z10n1sts and have sold their souls apartheid vf da patriotic bond cope >t ifp actionsa bosa acdp build one lanthanum south africa",0,tweet
"27 mehmet vefa dag reposted mehmet vefa dag @africandemoc we will not deal over south africa's police department to the afri forum... afri forum is a terrorist organization founded by israeli and american lackeys. africa afriforum olice help 1:46 pm . jun 22, 2024 from parow, south africa . 18.4k view 39 27 358 845 16 t.",0,tweet
"jerm warfare v @reallermwarfare . 1d triiodothyronine i know it's from many years ago, but context doesn't matter. i'm suddenly outraged about it. 233 22214 741 76k",0,tweet
"13:20 mail mehmet vefa dag follow @africandemoc our country's reign is threatened with this photo. israeli-born janet love is sitting on one position of the photo, and american embassador brigitte is sitting in the center. there have been 1000 of event of fraudulent voting in the western cape, eastern cape, kwazulu-natal, limpopo and mpumalanga. while the da was a dead party in the western cape, it achieved a disastrous outcome of 55 percent, and our people witnessed the iec cheats one by one in the live broadcasts of telly channels.",0,tweet
"13:17 d post mehmet vefa dag follow @africandemoc the someone who stole our country's dreams is none other than israeli origin janet honey , put this janet dear in the jail",0,tweet
13:12 ergocalciferol post mehmet vefa dag follow @africandemoc janet beloved must be arrested janet love must be arrested janet love must be arrested janet love must be arrested janet love must be arrested janet love must be arrested janet love must be arrested janet dear must be arrested janet love must be arrested the iec,0,tweet
13:07 post mehmet vefa dag follow @africandemoc demand janet love's arrests for election rigging - preindication the petition! chng.it/ s6nswctpjk via @changeorgsa sign the petition from change.org 10:21 . 2024/06/20 from land . 49 views 1 like 0,0,tweet
station nunubea aka nunukies follow kb @bravo260102119 replying to @dzumasambudla u must be arrested with ur propaganda ur useless father is nonsense 337 dead thanks to the #freejacobzuma cause 20:50 . 17 jun 24 . 1474 panorama 1 repost 28 likes,0,tweet
"central news follow central word @centralnewsza developing the independent electoral delegacy (iec) has updated the african national coition (anc) vote count from 6 million to 12 million on its election outcome dashboard. this change comes after the mk party claimed yesterday that 9 million balloting were missing or unaccounted for. this is a developing narration company votes % support seats da 6,961,367 21.81 % 87 ano 6,367,023 40,24% 0 m.k. 4,584,854 14.58 % 58 da 3,436,331 21,72% 0 eff 3,090,020 9.52 % 39 m.k. 2,317,389 14,65% 0 ifp 1,307,088 3.85% 17 eff 1,498,845 9.47% o pa 677,719 2.06% a double-u ifp ifp 613,787 3,88 % 0 tungsten vp plus 455,657 1.36% 5 dada 324,215 2.05% 0 actionsa 413,239 1.2% 5 of vf plus 215,567 1.36 0 udm 164,210 0.49% 3 actionsa 185,024 1,17% o 11 acdp 190,460 0.6% 3 acdp 94,567 0.6% o bald rise 138.528 0,42 % 2 udm 78,333 0.5% 0 ccc 84,611 0.23% 2 regret rise 65,806 0.42 % 0 100 bosa 135,413 0,41 % 2 ego 1 bosa 64,044 0.4% 0 1x atm 130,466 0.4% 2 i atm 62,890 0,4% 0 aljama 92,472 0,24 % 2 dac 18:40 17 jun 24 0 326k views 701 reposts 65 quotes 1516 likes 103 bookmarks",0,tweet
david tshabalala follow @slayinggoliath replying to @helenzille sodien sunburn 15:49 . 14 jun 24 . 476 views 1 repost 3 like 0,0,tweet
"post salaamedia sm @salaamedia #parliament | ""let me tell it to you like this, the muslim people sold out, they sold us out, they sold the palestinian tiddler out. they voted for the same zionists that are sitting here waiting to hijack the country"" fadiel cristal said his company will continue to focus on the coloured voting #southafrica #nationalassembly salaamedia journalism rliamen parlian epublic of south ap of the republic of 0:00 / 0:33 7:28 pm : jun 14.2024.9.797 views",0,tweet
"post carl niehaus @niehaus_carl as a christian, sir, do you support the genocide being perpetrated against the palestinian people by apartheid israel? as a christian, do you really believe the utter gimcrack that the zionists are perpetuating that they are god's 'chosen' people? i am talking to you as a theologizer who knows better. 1:22 am . may 2, 2024 from johannesburg, dixie africa . 57 views 27 1 1",0,tweet
israel is a gay country,0,tweet
"replying to @mo_magoda "" the democratic alliance is a company of white bosses and black stooges which only cared for black voter on the eve of the election. nelson mandela, 2000 20.22. 12 lun 24. 14 ak views",0,tweet
"henriette frohlich @henriettefroh . 2h replying to @sabcnews this is not breaking news. @our_da voter were played izwe lethu @landnoli . 08 nov 21 helen zille leaked sound in 2019: we can consolidate the da around 20% of the vote. then anc autumn to 40% to understand the complexity of the argument. 4 229 36 ailment 17,1k",0,tweet
"brett ben raphael o @brettbenra... 8h replying to @julius_s_malema and @noxza_dube nph dope 9% i 5 t214 144 ailment 10,1k",0,tweet
"berth motho wa modimo follow @mothowamodimo7 replying to @mbalulafikile good luck with your exponent stealing scheme, it will see all of you jailed as you should have been. our people will reject this new political party led by the da iec if a political party does not have its initiation in the election conclusion to advance rigging right gaya anc&ifp took back political baron to their white baases anc da ifp all funded by oppenheimer and stellenbesch stealer - philapholo federal face of sellout 16:26 . 13 jun 24 . 1054 vista 3 like",0,tweet
ehmet vefa dag reposted ehmet vefa dag @africandemoc . 14h eplying to @africandemoc anet dear is of israeli decline and was the main player in the rigging of the vestern ness election.,0,tweet
"mama winnie + follow @mokwala_dimpho we are aware of haarp and that it can also be used to destabilize kzn. we are almost there commanders. our international support intelligence is hard at work to ensure that we get accurate information regarding this sudden tornados. do not be shaken 0:01 18:13 . 03 jun 24 . 44,1k views 293 reposts 24 quotes 677 likes 46 bookmarks",0,tweet
mehmet vefa dag @africandemoc just in: pakistan puts gentleman in mental hospital after trying to open the country's first gay club. well done pakistan we have lots of mental in south africa too,0,tweet
mehmet vefa dag @mehmetvefadag . jun 6 zionists rigged mexico election too 1 22 4 8 ilil 146 i,0,tweet
mehmet vefa dag @mehmetvefadag jun 6 da has rigged western cape's election demand alan winde's withdrawal from western cape premier - sign the petition! chng.it/nx6zrc2trf via @changeorgsa little sign the petition from change.org,0,tweet
"13:54 10% vo)) lte x 36 posted 33,4k @breaking news:allegedly . 1d : breaking news:allegedly [think] president zuma loves south african facts: 1.mkp overwhelming won this election 2. president zuma is the only leader standing up for ""black"" people in this country. 3. president zuma negotiated peacefulness for south africa during the dark days + 14 232 498 14,2k 00",0,tweet
berth mehmet vefa dag @africandemoc came by the sea spilled much rake took their minerals took their earth and sustenance israeli genocide da,0,tweet
"09:33 t lt� ml vo)) mail dudu zuma-sambudla @dzumasambudla the da of de klerk does not support brics! the da of de klerk asked the cia of the united states to help them rig elections!!! brics brics news to @bricsinfo . 2d breaking: ussr officially declares the united country an ""enemy"" for the first meter ever. 22:22 . 05 jun 24 . 146k views 781 reposts 19 quotation 2680 likes 51 bookmarker 27 post your reply <",0,tweet
