data,label,type
"20:06
+
Vo)) LTE all z
Post
Lisa the First
Follow
@Nelly_thefirst
Pauli Van Wyk lives everyday under
the weight of her own lies and
propaganda about EFF and VBS. It is
her wettest dream to see the black
people unrepresented. She is a relic of
apartheid Media. She has now become
the victim of her own propaganda and
far from reality.
7:46 . 12 Jul 24 . 742 Views
13 Reposts 32 Likes
LI
@lekoloaneManam2
@lekolo...
.
12h
Replying to @Nelly_thefirst
She is a devil worshipper
2
22
3
101
Lisa the First @Nelly_thefirst . 11h
She is obsessed
1
LV
ild 28
Show replies
Show probable spam
Post your reply
<",0,tweet
"Post
MEHMET VEFA DAG
@AFRICANDEMOC
Eff is under Mossad's attack
Let's take care of [protect]Eff together..
Eff is the pearl of our parliament
THE
MOSSAD
G
)
EFF
The History and Legacy of Israel's
3:43 PM . Jul 11,2024 . 648 Views",0,tweet
"18:11
B
Vo))
LTE all
Post
MEHMET VEFA DAG reposted
MEHMET VEFA DAG
Follow
@AFRICANDEMOC
lan Cameron
He is a mossad agent who has
infiltrated our parliament, he must be
removed immediately
5:39 . 23 Jun 24 . 28,4K Views
345 Reposts 7 Quotes 972 Likes
5 Bookmarks
Bronx_X @Bronx_wrangler . 23 Jun
Renlying to @AEDICANDEMON
Post your reply",0,tweet
"tz
MEHMET VEFA DAG reposted
MEHMET VEFA DAG @AFRICA. . 1d
:
This is Glynnis Breytenbach who has been
nominated at the JSC Committee yet she
was fired by the NPA and probed but the
DA is very muted about it, Yet they calling
Dr Hlophe all sorts of names double
standards
They should start with her
Hands off Dr Hlophe
158
LI 1,4K
3K
110K
+",0,tweet
"Hon. Dudu Zuma-Sambudla O @... . 18h
The Unity Of Black People Can Win ANY War
The
Constitution
WE ARE UNITED AGAINT THEM
260
tv435
0
2,5K
ili 196K",0,tweet
"EVIDENCE FOUN
SHARE
https://www.theancho...
Anchort
Home > Uncategorized
Uncategorized
EVIDENCE FOUND OF
DEMOCRATIC ALLIANCE
INVOLVEMENT IN POWER
OUTAGES IN SOUTH
AFRICA
By developer - February 12, 2024
31332
0
Like 110
Y
G+
+
Photo: Eskom, Tutuka power station
One of the most pressing issues for the government and
residents of South Africa in recent years has been the",0,tweet
"Post
Ferial Haffajee
@ferialhaffajee
Comment: There is a powerful organised deployed
cadre machinery on X in the Gauteng government
who shout-shout when a mirror is held up to their
mirages. You got 34% in the elections, people,
even as you spun journalists about a 55% win.
Stop
shouting and calling me names.
9:06 04 Jul 24 81,1K Views
114 Reposts 10 Quotes 611 Likes 11 Bookmarks
Q
LI
MORAL Authority
@lavidaNOTA 1d
Replying to @ferialhaffajee
This is you...
Africa Research Desk @MightiJamie . 2d
Calling other political parties, their voters and
politicians dogs is disgraceful, dehumanizing and anti
democratic.
Post your reply",0,tweet
"Post
MEHMET VEFA DAG
Follow
@AFRICANDEMOC
Da took over home affairs for granting citizenship
to illegal Israeli Settlers
THEY ARE PLANNING TO BRING OVER 5 million
Israelis in the Western Cape
South Africa wake up
Zionists Real Estate companies bought entire
Cape Town already
Gentrification is already happening
home affairs
Department:
Home Affairs
REPUBLIC OF SOUTH AFRICA
Regional Office Orlando West
Post your reply",0,tweet
"18:17
in
LTE2 Vo)) 4G IT III
54%
Post
EFF FIGHTER SIZWE
Follow
@sizwethefighter
We must remain stedfarst fighters we
must
ND
18:33 . 03 Jul 24 . 3 490 Views
30 Reposts 2 Quotes 185 Likes
tv
0
EsinSZ @SzWiese . 18h
Replying to @sizwethefighter
Remember, stedfarst fighters, stedfarst!
tz
ihi 9
go
Devushka @moira m_p 1d
Replying to @sizwethefighter
Yes. We are fine actually.
Post your reply",0,tweet
"23:07
in
Vo)) 4G
LTE all z
it
Post
Freeman Bhengu
@zibuseman
Newly appointed Minister of Home
Affairs - Leon Schreiber telling it exactly
as it is. Mabahambe ! Is this really you
@Leon_Schreib I Ike I like
tera2
THEMEVOM THROUGH
Tik Tok
and
2:44
10:47 . 03 Jul 24 . 408K Views
1004 Reposts 187 Quotes 3 462 Likes
970 Bookmarks
Post your reply",0,tweet
